dataset,model,event_purity_all,event_purity_strict_slots,n_events_with_target,purity_FR-only,n_FR-only,purity_has-SRqq,n_has-SRqq,purity_has-FB,n_has-FB,purity_2FR,n_2FR
old,vanilla,50.21,24.36,170991,7.97,30052,54.71,126038,85.89,20645,5.51,399
old,pairwise,56.93,28.48,170991,12.23,30052,62.74,126038,86.58,20645,6.27,399
fixed,vanilla,36.56,15.24,178436,29.42,85978,37.6,82817,78.59,13380,5.38,7771
fixed,blocks,37.19,20.79,178436,30.17,85978,38.12,82817,78.89,13380,5.87,7771
fixed,rewt,15.23,7.58,178436,0.85,85978,23.32,82817,62.0,13380,0.03,7771
fixed,ogref,14.63,6.96,178436,2.85,85978,19.55,82817,63.62,13380,0.35,7771
fixed,v6blocks,22.76,13.65,178436,35.99,85978,1.02,82817,66.91,13380,9.51,7771
fixed,v6vanilla,25.13,15.71,178436,42.33,85978,0.67,82817,59.66,13380,15.54,7771
v6test,v6blocks,18.46,9.73,2178984,31.06,683180,0.74,1296476,62.99,287433,13.85,95137
v6test,v6vanilla,18.55,10.09,2178984,32.33,683180,0.14,1296476,63.26,287433,15.68,95137
