run_id,n_params,n_trainable,hidden_dim,num_embedding_layers,batch_size,learning_rate,dropout,pairwise
1d6qz63u,21203446,21203396,128,6,2048,0.000435,0.2324,False
1ussyakc,84480502,84480452,256,10,2048,0.000274,0.1302,False
33r5r2wd,5343382,5343332,64,14,2048,0.00016,0.1381,True
59ynqfj2,84481174,84481124,256,14,512,0.00014,0.2911,True
696zcscz,84481174,84481124,256,14,1024,0.000524,0.2219,True
6dd6mvpv,84480502,84480452,256,14,2048,0.000303,0.2643,False
6ljjlx35,84480502,84480452,256,6,2048,0.000482,0.2332,False
76iqfx3n,5343382,5343332,64,6,512,0.000143,0.116,True
afjbmku5,84481174,84481124,256,6,512,0.000786,0.1699,True
amvz3ch1,21204118,21204068,128,10,1024,0.000213,0.2002,True
bk8kj8pu,84480502,84480452,256,14,512,0.000388,0.2385,False
byeva76u,5343382,5343332,64,10,1024,0.000112,0.2287,True
ce5ymtjx,5342710,5342660,64,14,1024,0.000848,0.1549,False
ctufruib,5343382,5343332,64,6,2048,0.000139,0.1623,True
cyeeeggr,5343382,5343332,64,6,2048,0.000277,0.2588,True
dbe8bqmr,84481174,84481124,256,10,512,0.000126,0.1434,True
dq9bd7rx,84480502,84480452,256,14,2048,0.000854,0.2844,False
dsfrac_010,84481174,84481124,256,6,2048,0.000117,0.2625,True
dsfrac_020,84481174,84481124,256,6,2048,0.000117,0.2625,True
dsfrac_040,84481174,84481124,256,6,2048,0.000117,0.2625,True
dsfrac_070,84481174,84481124,256,6,2048,0.000117,0.2625,True
e19osz6f,21204118,21204068,128,6,512,0.000363,0.2979,True
g2vc1w2g,21203446,21203396,128,6,2048,0.000473,0.2398,False
g4zoxlct,5343382,5343332,64,14,1024,0.000953,0.1196,True
gs8pex8v,5343382,5343332,64,10,512,0.000734,0.2979,True
hvep36x3,21204118,21204068,128,6,512,0.000299,0.2875,True
ickk4hl3,84480502,84480452,256,10,2048,0.000692,0.1398,False
iflm6fht,84481174,84481124,256,6,2048,0.000117,0.2625,True
iflm6fht_rewt,84481244,84481124,256,6,2048,0.000117,0.2625,True
n2m3adwr,21204118,21204068,128,10,2048,0.000179,0.1554,True
niy1tnav,21204118,21204068,128,10,512,0.000103,0.1851,True
nucmi0u1,21204118,21204068,128,6,2048,0.000614,0.2595,True
pg1oteh2,84481174,84481124,256,10,1024,0.000182,0.2643,True
sqjfkudn,21204118,21204068,128,10,512,0.000387,0.2455,True
sw8w9x09,84480502,84480452,256,14,1024,0.000147,0.218,False
sxwt6rms,5343382,5343332,64,6,1024,0.000102,0.237,True
urevv0fv,21204118,21204068,128,14,512,0.000669,0.2231,True
vgiq8yfm,84481174,84481124,256,14,2048,0.000122,0.2514,True
w6podt1t,21203446,21203396,128,6,2048,0.000582,0.2727,False
wclzbk8u,21203446,21203396,128,6,2048,0.000449,0.2486,False
wf53czly,84480502,84480452,256,10,2048,0.000602,0.2316,False
zy9gyq0r,5343382,5343332,64,10,2048,0.000237,0.1493,True
